Timestamp,Temperature_C
2025-08-19 10:59:42,28.00
2025-08-19 10:59:44,28.00
2025-08-19 10:59:46,28.00
2025-08-19 10:59:48,28.00
2025-08-19 10:59:50,28.00
2025-08-19 10:59:52,28.00
2025-08-19 10:59:54,28.00
2025-08-19 10:59:56,28.00
2025-08-19 10:59:58,28.00
2025-08-19 11:00:00,28.00
2025-08-19 11:00:02,28.00
2025-08-19 11:00:04,28.00
2025-08-19 11:00:06,28.00
2025-08-19 11:00:08,28.00
2025-08-19 11:00:10,28.00
2025-08-19 11:00:12,28.00
2025-08-19 11:00:14,28.00
2025-08-19 11:00:16,28.00
2025-08-19 11:00:18,28.00
2025-08-19 11:00:20,28.00
2025-08-19 11:00:22,28.00
2025-08-19 11:00:24,28.00
2025-08-19 11:00:26,28.00
2025-08-19 11:00:28,28.00
2025-08-19 11:00:30,28.00
2025-08-19 11:00:32,28.00
2025-08-19 11:00:34,28.00
2025-08-19 11:00:36,28.00
2025-08-19 11:00:38,28.00
2025-08-19 11:00:40,28.00
2025-08-19 11:00:42,28.00
2025-08-19 11:00:44,28.00
2025-08-19 11:00:46,28.00
2025-08-19 11:00:48,28.00
2025-08-19 11:00:50,28.00
2025-08-19 11:00:52,28.00
2025-08-19 11:00:54,28.00
2025-08-19 11:00:56,28.00
2025-08-19 11:00:58,28.00
2025-08-19 11:01:00,28.00
2025-08-19 11:01:02,28.00
2025-08-19 11:01:04,28.00
2025-08-19 11:01:06,28.00
2025-08-19 11:01:08,28.00
2025-08-19 11:01:10,28.00
2025-08-19 11:01:13,28.00
2025-08-19 11:01:15,28.00
2025-08-19 11:01:17,28.00
2025-08-19 11:01:19,28.00
2025-08-19 11:01:21,28.00
2025-08-19 11:01:23,28.00
2025-08-19 11:01:25,28.00
2025-08-19 11:01:27,28.00
2025-08-19 11:01:29,28.00
2025-08-19 11:01:31,28.00
2025-08-19 11:01:33,28.00
2025-08-19 11:01:35,28.00
2025-08-19 11:01:37,28.00
2025-08-19 11:01:39,28.00
2025-08-19 11:01:41,28.00
2025-08-19 11:01:43,28.00
2025-08-19 11:01:45,28.00
2025-08-19 11:01:47,28.00
2025-08-19 11:01:49,28.00
2025-08-19 11:01:51,28.00
2025-08-19 11:01:53,28.00
2025-08-19 11:01:55,28.00
2025-08-19 11:01:57,28.00
2025-08-19 11:01:59,28.00
2025-08-19 11:02:01,28.00
2025-08-19 11:02:03,28.00
2025-08-19 11:02:05,28.00
2025-08-19 11:02:07,28.00
2025-08-19 11:02:09,28.00
2025-08-19 11:02:11,28.00
2025-08-19 11:25:37,27.00
2025-08-19 11:25:39,27.00
2025-08-19 11:25:41,27.00
2025-08-19 11:25:43,27.00
2025-08-19 11:25:45,27.00
2025-08-19 11:25:47,27.00
2025-08-19 11:25:49,27.00
2025-08-19 11:25:51,27.00
2025-08-19 11:25:53,27.00
2025-08-19 11:25:55,27.00
2025-08-19 11:25:57,27.00
2025-08-19 11:25:59,27.00
2025-08-19 11:26:01,27.00
2025-08-19 11:26:03,27.00
2025-08-19 11:26:05,27.00
2025-08-19 11:26:07,27.00
2025-08-19 11:26:09,27.00
2025-08-19 11:26:11,27.00
2025-08-19 11:26:13,27.00
2025-08-19 11:26:15,27.00
2025-08-19 11:26:17,27.00
2025-08-19 11:26:19,27.00
2025-08-19 11:26:21,27.00
2025-08-19 11:26:23,27.00
2025-08-19 11:26:25,27.00
2025-08-19 11:26:27,27.00
2025-08-19 11:26:29,27.00
2025-08-19 11:26:31,27.00
2025-08-19 11:26:33,27.00
2025-08-19 11:26:35,27.00
2025-08-19 11:26:38,27.00
2025-08-19 11:26:40,27.00
2025-08-19 11:26:42,27.00
2025-08-19 11:26:44,27.00
2025-08-19 11:26:46,27.00
2025-08-19 11:26:48,27.00
2025-08-19 11:26:50,27.00
2025-08-19 11:26:52,27.00
2025-08-19 11:26:54,27.00
2025-08-19 11:26:56,27.00
2025-08-19 11:26:58,27.00
2025-08-19 11:27:00,27.00
2025-08-19 11:27:02,27.00
2025-08-19 11:27:04,27.00
2025-08-19 11:27:06,27.00
2025-08-19 11:27:08,27.00
2025-08-19 11:27:10,27.00
2025-08-19 11:27:12,27.00
2025-08-19 11:27:14,27.00
2025-08-19 11:27:16,27.00
2025-08-19 11:27:18,27.00
2025-08-19 11:27:20,27.00
2025-08-19 11:27:22,27.00
2025-08-19 11:27:24,27.00
2025-08-19 11:27:26,27.00
2025-08-19 11:27:28,27.00
2025-08-19 11:27:30,27.00
2025-08-19 11:27:32,27.00
2025-08-19 11:27:34,27.00
2025-08-19 11:27:36,27.00
2025-08-19 11:27:38,27.00
2025-08-19 11:27:40,27.00
2025-08-19 11:27:42,27.00
2025-08-19 11:27:44,27.00
2025-08-19 11:27:46,27.00
2025-08-19 11:27:48,27.00
2025-08-19 11:27:50,27.00
2025-08-19 11:27:52,27.00
2025-08-19 11:27:54,27.00
2025-08-19 11:27:56,27.00
2025-08-19 11:27:58,27.00
2025-08-19 11:28:00,27.00
2025-08-19 11:28:02,28.00
2025-08-19 11:28:04,27.00
2025-08-19 11:28:06,28.00
2025-08-19 11:28:08,28.00
2025-08-19 11:28:10,28.00
2025-08-19 11:28:12,28.00
2025-08-19 11:28:14,28.00
2025-08-19 11:28:16,28.00
2025-08-19 11:28:19,28.00
2025-08-19 11:28:21,28.00
2025-08-19 11:28:23,28.00
2025-08-19 11:28:25,27.00
2025-08-19 11:28:27,27.00
2025-08-19 11:28:29,27.00
2025-08-19 11:28:31,27.00
2025-08-19 11:28:33,27.00
2025-08-19 11:28:35,27.00
2025-08-19 11:28:37,27.00
2025-08-19 11:28:39,27.00
2025-08-19 11:28:41,27.00
2025-08-19 11:28:43,27.00
2025-08-19 11:28:45,27.00
2025-08-19 11:28:47,27.00
2025-08-19 11:28:49,27.00
2025-08-19 11:28:51,27.00
2025-08-19 11:28:53,27.00
2025-08-19 11:28:55,27.00
2025-08-19 11:28:57,27.00
2025-08-19 11:28:59,27.00
2025-08-19 11:29:01,27.00
2025-08-19 11:29:03,27.00
2025-08-19 11:29:05,27.00
2025-08-19 11:29:07,27.00
2025-08-19 11:29:09,27.00
2025-08-19 11:29:11,27.00
2025-08-19 11:29:13,27.00
2025-08-19 11:29:15,27.00
2025-08-19 11:29:17,27.00
2025-08-19 11:29:19,27.00
2025-08-19 11:29:21,27.00
2025-08-19 11:29:23,27.00
2025-08-19 11:29:25,27.00
2025-08-19 11:29:27,27.00
2025-08-19 11:29:29,27.00
2025-08-19 11:29:31,27.00
2025-08-19 11:29:33,27.00
2025-08-19 11:29:35,27.00
2025-08-19 11:29:37,27.00
2025-08-19 11:29:39,27.00
2025-08-19 11:29:41,27.00
2025-08-19 11:29:43,27.00
2025-08-19 11:29:45,28.00
2025-08-19 11:29:47,27.00
2025-08-19 11:29:49,27.00
2025-08-19 11:29:51,27.00
2025-08-19 11:29:53,27.00
2025-08-19 11:29:55,27.00
2025-08-19 11:29:57,27.00
2025-08-19 11:30:00,27.00
2025-08-19 11:30:02,27.00
2025-08-19 11:30:04,27.00
2025-08-19 11:30:06,27.00
2025-08-19 11:30:08,27.00
2025-08-19 11:30:10,27.00
2025-08-19 11:30:12,27.00
2025-08-19 11:30:14,27.00
2025-08-19 11:30:16,27.00
2025-08-19 11:30:18,27.00
2025-08-19 11:30:20,27.00
2025-08-19 11:30:22,27.00
2025-08-19 11:30:24,27.00
2025-08-19 11:30:26,27.00
2025-08-19 11:30:28,27.00
2025-08-19 11:30:30,27.00
2025-08-19 11:30:32,27.00
2025-08-19 11:30:34,27.00
2025-08-19 11:30:36,27.00
2025-08-19 11:30:38,27.00
2025-08-19 11:30:40,27.00
